ID,Education,Marital_Status,Income,Kids,NumOfPurchases,Age,Product_1,Product_2
5524,Graduation,Single,58138.0,0,25,67,22896,41731
2174,Graduation,Single,46344.0,2,6,70,19442,19053
4141,Graduation,Together,71613.0,0,21,59,22868,34901
6182,Graduation,Together,26646.0,1,8,40,15856,45888
5324,PhD,Married,58293.0,1,19,43,2772,33379
7446,Master,Together,62513.0,1,22,57,35156,19632
965,Graduation,Divorced,55635.0,1,21,53,33723,48314
6177,PhD,Married,33454.0,1,10,39,4917,33723
4855,PhD,Together,30351.0,1,6,50,9815,40063
5899,PhD,Together,5648.0,2,2,74,8827,6770
387,Basic,Married,7500.0,0,6,48,4779,26618
2125,Graduation,Divorced,63033.0,0,16,65,12928,25598
8180,Master,Divorced,59354.0,2,15,72,48314,36637
2569,Graduation,Married,17323.0,0,5,37,6179,17394
2114,PhD,Single,82800.0,0,26,78,22868,34275
9736,Graduation,Married,41850.0,2,9,44,1562,17614
4939,Graduation,Together,37760.0,0,13,78,2163,4952
6565,Master,Married,76995.0,1,26,75,12928,11435
2278,2n Cycle,Single,33812.0,1,8,39,42167,6811
9360,Graduation,Married,37040.0,0,12,42,1638,34437
5376,Graduation,Married,2447.0,1,43,45,22113,7475
1993,PhD,Married,58607.0,1,17,75,46327,44736
4047,PhD,Married,65324.0,1,20,70,27376,12533
1409,Graduation,Together,40689.0,1,20,73,11765,32521
7892,Graduation,Single,18589.0,0,8,55,13073,22764
2404,Graduation,Married,53359.0,2,14,48,7559,42870
9422,Graduation,Married,38360.0,1,9,35,12285,23501
1966,PhD,Married,84618.0,0,26,59,2080,47444
6864,Master,Divorced,10979.0,0,8,35,9178,35089
3033,Master,Together,38620.0,0,11,61,12533,9249
5710,Graduation,Together,40548.0,1,9,54,15660,43013
7373,PhD,Divorced,46610.0,2,17,72,1164,38341
8755,Master,Married,68657.0,0,18,78,8068,39323
10738,Master,Single,49389.0,2,6,73,29134,16437
4339,PhD,Married,67353.0,1,28,54,41148,11620
10755,2n Cycle,Married,23718.0,1,9,48,43378,8068
8595,Graduation,Widow,42429.0,1,7,51,45928,36476
2968,PhD,Divorced,48948.0,0,24,81,23738,13142
8601,Graduation,Married,80011.0,1,21,44,34920,33978
503,Master,Married,20559.0,1,7,39,21097,1801
8430,Graduation,Together,21994.0,1,4,67,49358,44351
2139,Master,Married,7500.0,1,8,49,15407,27214
1371,Graduation,Single,79941.0,0,16,48,5183,40582
9909,2n Cycle,Married,7500.0,0,10,28,31487,15660
7286,Graduation,Together,41728.0,1,5,56,48714,7489
6566,PhD,Married,72550.0,2,28,70,31487,33068
8614,Graduation,Widow,65486.0,1,17,67,35089,3778
4114,Master,Married,79143.0,0,29,60,28954,1857
